 Dalapon, ug/L, Measurement of Dalapon. ,
 Bentazon, ug/L, Measurement of Bentazon. ,
 Acifluorfen, ug/L, Measurement of Acifluorfen. ,
"3,5-Dichlorobenzoic acid", ug/L," Measurement of 3,5-Dichlorobenzoic acid.", 
"2,4-Dichlorophenoxybutyric acid", ug/L," Measurement of 2,4-Dichlorophenoxybutyric acid. ",
 Total coliform, MPN/100mL, Measurement of Total coliform.,
 Giardia, ug/L, Measurement of Giardia.,
 Fecal coliform, MPN/100mL, Measurement of Fecal coliform.,
 Cryptosporidium, ORG/L, Measurement of Cryptosporidium.,
 Alkalinity (as CO3) (carbonate), ug/L, Measurement of Alkalinity (as CO3) (carbonate).,
 Picloram, ug/L, Measurement of Picloram. ,
 Tetrachlorvinphos, ug/L, Measurement of Tetrachlorvinphos. ,
 Dicamba, ug/L, Measurement of Dicamba. ,
 Carbofuran, ug/L, Measurement of Carbofuran. ,
 Metribuzin, ug/L, Measurement of Metribuzin. ,
 Chlorpyrifos, ug/L, Measurement of Chlorpyrifos. ,
 Alkalinity (as OH) (hydroxide), ug/L, Measurement of Alkalinity (as OH) (hydroxide).,
 Alkalinity (as HCO3) (bicarbonate), ug/L, Measurement of Alkalinity (as HCO3) (bicarbonate).,
 Electrical conductivity at 25 degrees C, uS/cm, Measurement of Electrical conductivity at 25 degrees C.,
 Di(2-ethylhexyl)phthalate, ug/L, Measurement of Di(2-ethylhexyl)phthalate. ,
"2,4'-DDD", ug/L," Measurement of 2,4'-DDD. ",
 Phosphorus, ug/L, Measurement of Phosphorus. ,
 4-Chloro-m-cresol, ug/L, Measurement of 4-Chloro-m-cresol. ,
, ug/L," Measurement of 4,6-Dinitro-o-cresol. ",
 PCBs, ug/L, Measurement of PCBs.,
 Trichloroacetonitrile, ug/L, Measurement of Trichloroacetonitrile. ,
 Dichloroacetonitrile, ug/L, Measurement of Dichloroacetonitrile. ,
 Dibromoacetonitrile, ug/L, Measurement of Dibromoacetonitrile. ,
 Chloropicrin, ug/L, Measurement of Chloropicrin. ,
 Bromochloroacetonitrile, ug/L, Measurement of Bromochloroacetonitrile. ,
"1,1-Dichloropropanone", ug/L," Measurement of 1,1-Dichloropropanone. ",
"1,1,1-Trichloropropanone", ug/L," Measurement of 1,1,1-Trichloropropanone",
"4,4'-DDD", ug/L," Measurement of 4,4'-DDD. ",
 Trichloronate, ug/L, Measurement of Trichloronate. ,
 Tokuthion, ug/L, Measurement of Tokuthion. ,
 Tetraethyldithiopyrophosphate, ug/L, Measurement of Tetraethyldithiopyrophosphate. ,
 Ronnel, ug/L, Measurement of Ronnel. ,
 Perchlorate, ug/L, Measurement of Perchlorate. ,
 Methyl parathion, ug/L, Measurement of Methyl parathion. ,
 Naled, ug/L, Measurement of Naled. ,
 Fenthion, ug/L, Measurement of Fenthion. ,
 Fensulfothion, ug/L, Measurement of Fensulfothion. ,
 Ethion, ug/L, Measurement of Ethion. ,
 EPN, ug/L, Measurement of EPN. ,
 Azinphos-methyl, ug/L, Measurement of Azinphos-methyl. ,
" Organic carbon, total (TOC)", ug/L," Measurement of Organic carbon, total (TOC).",
 Vinyl chloride, ug/L, Measurement of Vinyl chloride. ,
 Vinyl acetate, ug/L, Measurement of Vinyl acetate. ,
 Trichloroethylene (TCE), ug/L, Measurement of Trichloroethylene (TCE). ,
" trans-1,2-Dichloroethylene", ug/L," Measurement of trans-1,2-Dichloroethylene. ",
 Xylenes, ug/L, Measurement of Xylenes. ,
 Trihalomethanes, ug/L, Measurement of Trihalomethanes.,
 Trihalomethanes (Potential), ug/L, Measurement of Trihalomethanes (Potential).,
 tert-Butylbenzene, ug/L, Measurement of tert-Butylbenzene. ,
 Ethyl tertiary butyl ether, ug/L, Measurement of Ethyl tertiary butyl ether. ,
 sec-Butylbenzene, ug/L, Measurement of sec-Butylbenzene. ,
 Pendimethalin, ug/L, Measurement of Pendimethalin. ,
 n-Propylbenzene, ug/L, Measurement of n-Propylbenzene. ,
 n-Butylbenzene, ug/L, Measurement of n-Butylbenzene. ,
 Methyl t-butyl ether (MtBE), ug/L, Measurement of Methyl t-butyl ether (MtBE). ,
" Xylenes (m,p)", ug/L," Measurement of Xylenes (m, p). ",
 Cumene, ug/L, Measurement of Cumene. ,
 Isopropyl ether, ug/L, Measurement of Isopropyl ether. ,
"1,1,2-Trichloro-1,2,2-trifluoroethane",ug/L,"Measurement of 1,1,2-Trichloro-1,2,2-trifluoroethane.",
 Trichlorofluoromethane, ug/L, Measurement of Trichlorofluoromethane. ,
 Dichloromethane, ug/L, Measurement of Dichloromethane. ,
 Dichlorodifluoromethane, ug/L, Measurement of Dichlorodifluoromethane. ,
 Dibromomethane, ug/L, Measurement of Dibromomethane. ,
 Dibromochloromethane (Potential), ug/L, Measurement of Dibromochloromethane (Potential). ,
"cis-1,2-Dichloroethylene",ug/L,"Measurement of cis-1,2-Dichloroethylene",
 Chloroform (Potential), ug/L, Measurement of Chloroform (Potential). ,
 Bromomethane, ug/L, Measurement of Bromomethane. ,
 Bromoform (Potential), ug/L, Measurement of Bromoform (Potential). ,
 Bromoethane, ug/L, Measurement of Bromoethane. ,
 Bromodichloromethane (Potential), ug/L, Measurement of Bromodichloromethane (Potential). ,
 Bromochloromethane, ug/L, Measurement of Bromochloromethane. ,
 Bromobenzene, ug/L, Measurement of Bromobenzene. ,
 Bis(2-chloroethyl) ether, ug/L, Measurement of Bis(2-chloroethyl) ether. ,
 Acrylonitrile, ug/L, Measurement of Acrylonitrile. ,
 Acrolein, ug/L, Measurement of Acrolein. ,
 Methyl isobutyl ketone (MIBK), ug/L, Measurement of Methyl isobutyl ketone (MIBK). ,
 p-Cymene, ug/L, Measurement of p-Cymene. ,
 Methyl n-butyl ketone, ug/L, Measurement of Methyl n-butyl ketone. ,
 2-Chlorotoluene, ug/L, Measurement of 2-Chlorotoluene. ,
"1,3-Dichloropropene", ug/L," Measurement of 1,3-Dichloropropene. ",
"1,3-Dichloropropane", ug/L," Measurement of 1,3-Dichloropropane. ",
"1,2-Dibromoethane", ug/L," Measurement of 1,2-Dibromoethane. ",
"1,2,3-Trichloropropane", ug/L," Measurement of 1,2,3-Trichloropropane",
"1,3-Trichlorobenzene", ug/L," Measurement of 1,3-Trichlorobenzene",
"1,1-Dichloropropene", ug/L," Measurement of 1,1-Dichloropropene",
"1,1,1,2-Tetrachloroethane", ug/L," Measurement of 1,1,1,2-Tetrachloroethane",
 Parathion, ug/L, Measurement of Parathion. ,
 N-Nitrosodipropylamine, ug/L, Measurement of N-Nitrosodipropylamine. ,
 Hexachlorocyclopentadiene, ug/m3, Measurement of Hexachlorocyclopentadiene. ,
