"STA","Station Name","Elevation","Latitude","Longitude","Nearby City","Hydro","Basin","Owner","Maintenance","Operator","Map","Collect","County Name","Basin Name","Agency Name","Hydro Area","Sensors"
"ACC","ALAMEDA CK BL CALAVERAS CK NR SUNOL CA","430","37.504","-121.824","SUNOL","2","2101","999","999","58","23","2","SANTA CLARA","ALAMEDA CR","US Geological Survey","SAN FRANCISCO BAY","1,14"
"ACD","ALAMEDA CK ABOVE DIV DAM NR SUNOL CA","930","37.4974365234375","-121.773567199707","SUNOL","2","2101","999","999","58","23","0","SANTA CLARA","ALAMEDA CR","US Geological Survey","SAN FRANCISCO BAY","1,14,25"
"ACK","ARCADE CK NR DEL PASO HTS","50","38.6416","-121.3825","SACRAMENTO","5","7701","999","999","58","16","0","SACRAMENTO","AMERICAN R","US Geological Survey","SACRAMENTO RIVER","1,14,20"
"ACM","ARROYO CORTE MADERA DEL PRESIDIO","3","37.898","-122.535","MILL VALLEY","2","2801","999","999","121","22","0","MARIN","SF BAY","Marin County","SAN FRANCISCO BAY","16"
"ACN","ACTON","2600","34.446","-118.2","ACTON","4","4601","999","999","172","46","0","LOS ANGELES","SANTA CLARA R","Los Angeles County Fire Dept","SOUTH COAST","2,4,9,10,11,12,13,14,17,26,30,31,32,77,78"
"ACR","ASH CK AT ADIN","4203","41.19807","-120.943394","ADIN","5","6701","999","999","707","0","2","MODOC","PIT R","CA Dept of Water Resources/North Region Office","SACRAMENTO RIVER","1,14,20"
"ACT","ACTON ESCONDIDO CNYN","2960","34.5","-118.167","PALMDALE","9","11501","999","999","999","46","0","none specified","MOJAVE DESERT",".None Specified","SOUTH LAHONTAN","2"
"ACZ","ALHAMBRA CREEK AT D STREET","59","38.0033991399264","-122.12966881318","MARTINEZ","2","2001","999","999","107","15","23","CONTRA COSTA","EAST BAY","Contra Costa County","SAN FRANCISCO BAY","1"
"ADI","ADIN MOUNTAIN","6200","41.237","-120.793","ADIN","5","6701","999","999","22","5","0","MODOC","PIT R","Big Valley Ranger District","SACRAMENTO RIVER","3,18,82"
"ADM","ADIN MOUNTAIN","6200","41.237","-120.792","ADIN","5","6701","999","999","54","5","0","MODOC","PIT R","Natural Resources Conservation Service","SACRAMENTO RIVER","2,3,4,18,30,31,32,82"
"ADN","ADIN RS","4195","41.194","-120.944","ADIN","5","6701","999","999","44","5","0","MODOC","PIT R","US Forest Service","SACRAMENTO RIVER","2"
"ADR","AUBURN DAM RIDGE","1200","38.882","-121.045","AUBURN","5","7701","50","702","50","17","0","PLACER","AMERICAN R","US Bureau of Reclamation","SACRAMENTO RIVER","2,4,14,16,30,31,32,45"
"ADS","ALDER SPRINGS NEAR ELK CREEK","4500","39.65","-122.725","ORLAND","5","7251","999","999","44","12","0","GLENN","STONY CR","US Forest Service","SACRAMENTO RIVER","2,4,9,10,11,12,13,14,26,30,31,32,45,77,78"
"AFD","AMERICAN R BELOW FOLSOM DAM","220","38.6883","-121.1667","FOLSOM","5","7701","999","999","58","17","0","SACRAMENTO","AMERICAN R","US Geological Survey","SACRAMENTO RIVER","14,25"
"AFO","AMERICAN RIVER AT FAIR OAKS","72","38.6354598999023","-121.227729797363","FAIR OAKS","5","7701","999","999","58","17","0","SACRAMENTO","AMERICAN R","US Geological Survey","SACRAMENTO RIVER","1,14,20,25"
"AGL","ANGIOLA","205","36.0","-119.45","TULARE","6","9001","999","999","999","31","0","TULARE","SAN JOAQUIN R",".None Specified","SAN JOAQUIN RIVER","2"
"AGP","AGNEW PASS","9450","37.7266311645508","-119.141731262207","MAMMOTH LAKES","6","9001","50","702","50","999","0","MADERA","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","3,4,9,10,14,18,30,31,32,82"
"AGW","A.G. WISHON (PG&E)","1000","37.151","-119.505","NORTH FORK","6","9001","999","999","60","25","0","MERCED","SAN JOAQUIN R","Pacific Gas & Electric","SAN JOAQUIN RIVER","2,12,14,16,30,45"
"AHD","ARROYO HONDO NR SAN JOSE CA","784","37.4616050720215","-121.769393920898","SAN JOSE","2","2101","999","999","58","23","0","SANTA CLARA","ALAMEDA CR","US Geological Survey","SAN FRANCISCO BAY","1,14"
"AHV","ASH VALLEY","5090","41.058","-120.706","DIAZ SPRING","5","6701","59","59","59","5","0","LASSEN","PIT R","US Bureau of Land Management","SACRAMENTO RIVER","2,4,9,10,12,13,14,26,30,31,32,77,78"
"AHZ","AMERICAN R AT HAZEL AVE BRIDGE","100","38.636","-121.224","SACRAMENTO","5","7701","999","999","58","17","0","SACRAMENTO","AMERICAN R","US Geological Survey","SACRAMENTO RIVER","14,25"
"AL1","ABBOTT LAKE 1 WEST LEVEE WELL","48","39.16861","-121.62278","YUBA CITY","5","7301","999","999","703","12","4","SUTTER","FEATHER R","CA Dept of Water Resources/Operations and Maintenance","SACRAMENTO RIVER","14,186,190,254,255"
"AL2","ABBOTT LAKE 2 WEST LEVEE WELL","48","39.169724","-121.623055","YUBA CITY","5","7301","999","999","703","12","4","SUTTER","FEATHER R","CA Dept of Water Resources/Operations and Maintenance","SACRAMENTO RIVER","14,186,190,254,255"
"AL3","ABBOTT LAKE 3 WEST LEVEE WELL","48","39.169998","-121.62278","YUBA CITY","5","7301","999","999","703","12","4","SUTTER","FEATHER R","CA Dept of Water Resources/Operations and Maintenance","SACRAMENTO RIVER","14,186,190,254,255"
"ALA","ALAMO POWER PLANT","3057","34.3209","-118.2212",,"4","1","703","703","703","0","99","LOS ANGELES","NOT SPECIFIED","CA Dept of Water Resources/Operations and Maintenance","SOUTH COAST","20"
"ALC","ALAMO CREEK AT PLEASANTS VALLEY ROAD","259","38.37409","-122.024987","VACAVILLE","2","2801","221","221","221","0","99","SOLANO","SF BAY","Solano County Water Agency","SAN FRANCISCO BAY","1"
"ALD","ALDER POINT","923","40.232","-123.712","ALDERPOINT","1","1201","999","999","3","7","0","HUMBOLDT","EEL R","CA Dept of Forestry and Fire Protection","NORTH COAST","2,4,9,10,11,12,13,14,30,31,32,77,78"
"ALI","LAKE ALPINE","7550","38.48","-120.013","BEAR VALLEY","6","8501","999","999","999","18","0","ALPINE","STANISLAUS R",".None Specified","SAN JOAQUIN RIVER","3,18,82"
"ALM","LAKE ALMANOR","4600","40.218","-121.173","CHESTER","5","7301","999","999","60","9","0","PLUMAS","FEATHER R","Pacific Gas & Electric","SACRAMENTO RIVER","6,15,22,23,68,74,76"
"ALN","ALAMEDA CK NR NILES","86","37.587158203125","-121.960792541504","NILES","2","2101","999","999","58","23","0","ALAMEDA","ALAMEDA CR","US Geological Survey","SAN FRANCISCO BAY","1,14,20,25"
"ALO","ALISO CANYON","2780","34.329","-118.555","SANTA CLARITA","4","4601","999","999","156","46","0","VENTURA","SANTA CLARA R","Ventura County","SOUTH COAST","16"
"ALP","ALPHA (SMUD)","7600","38.8041915893555","-120.21565246582","STRAWBERRY","5","7701","700","999","85","999","0","EL DORADO","AMERICAN R","Sacramento Municipal Utility District","SACRAMENTO RIVER","2,3,4,30,31,32,82"
"ALS","ALDER SPRINGS (USACE)","4500","39.65","-122.725","ELK CREEK","5","7251","999","999","56","12","0","GLENN","STONY CR","US Army Corps of Engineers","SACRAMENTO RIVER","2,45"
"ALT","ALTURAS RS","4400","41.5","-120.55","ALTURAS","5","6701","999","999","44","5","0","MODOC","PIT R","US Forest Service","SACRAMENTO RIVER","2,45"
"ALY","ALLEGHANY","4957","39.47021484375","-120.87427520752","ALLEGHANY","5","7401","701","702","702","999","0","SIERRA","YUBA R","CA Dept of Water Resources/DFM-Hydro-SMN","SACRAMENTO RIVER","2,14,45"
"AMA","AMERICAN MF NR AUBURN","88","38.872","-121.055","AUBURN","5","7701","999","999","58","17","0","PLACER","AMERICAN R","US Geological Survey","SACRAMENTO RIVER","65,66"
"AMC","ARCADE CREEK AT WINDING WAY","70","38.645","-121.347","SACRAMENTO","5","7701","999","999","134","17","0","SACRAMENTO","AMERICAN R","Sacramento County","SACRAMENTO RIVER","1,16"
"AMD","AMMO DUMP","1068","33.382","-117.286","FALLBROOK","4","5801","999","999","304","54","0","SAN DIEGO","SANTA MARGARITA R","Camp Pendleton Fire Dept","SOUTH COAST","2,4,9,10,11,12,13,14,17,30,31,32,77,78"
"AMF","AMERICAN R AT FOLSOM","0","38.683","-121.183","FOLSOM","5","7701","999","722","722","17","0","SACRAMENTO","AMERICAN R","CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting","SACRAMENTO RIVER","41,65,66,72,260,261,262,263,264,265,290"
"AMK","AMERICAN SF NR KYBURZ","3840","38.764","-120.325","KYBURZ","5","7701","999","999","58","18","0","EL DORADO","AMERICAN R","US Geological Survey","SACRAMENTO RIVER","1,20,65,66"
"AMN","AMERICAN NF AT N FORK DAM","715","38.9361","-121.0228","FOLSOM","5","7701","999","999","58","17","0","SACRAMENTO","AMERICAN R","US Geological Survey","SACRAMENTO RIVER","65,66"
"AMR","MERCED R AT AMSTERDAM RD","173","37.46806","-120.53889","SNELLING","6","8701","999","999","204","23","2","MERCED","MERCED R","Merced Irrigation District","SAN JOAQUIN RIVER","1,2,4,9,10,12,14,20"
"AMW","KINGS RIVER BELOW ARMY WEIR","230","36.386","-119.787","LEMOORE","7","9401","999","999","56","31","0","KINGS","KINGS R","US Army Corps of Engineers","TULARE LAKE","1,20"
"ANA","SANTA ANA FIRE STA","135","33.75","-117.867","SANTA ANA","4","5701","999","999","40","54","0","ORANGE","SANTA ANA R","National Weather Service","SOUTH COAST","2"
"ANC","ANTIOCH (USBR)","10","38.017817","-121.802965","ANTIOCH","5","8101","999","999","50","16","0","CONTRA COSTA","DELTA","US Bureau of Reclamation","SACRAMENTO RIVER","14,25,100,102"
"AND","SACRAMENTO RIVER AT ANDERSON","397","40.471333","-122.29536","ANDERSON","5","6501","999","999","707","7","2","SHASTA","SACRAMENTO R","CA Dept of Water Resources/North Region Office","SACRAMENTO RIVER","14,25"
"ANG","ANGWIN","1815","38.5712","-122.4332","ST HELENA","2","1901","702","702","702","16","2","NAPA","NAPA R","CA Dept of Water Resources/DFM-Hydro-SMN","SAN FRANCISCO BAY","2,4,14,16,45"
"ANH","SAN JOAQUIN RIVER AT ANTIOCH","10","38.0178298950195","-121.802963256836","ANTIOCH","5","9001","999","999","705","999","0","CONTRA COSTA","SAN JOAQUIN R","CA Dept of Water Resources/Div of Environmental Services","SACRAMENTO RIVER","1,4,5,9,10,14,25,26,27,28,61,62,100,102,141,146"
"ANL","ANTELOPE CREEK AT LANDFILL","200","38.764","-121.26","ROSEVILLE","5","7701","999","999","73","17","0","PLACER","AMERICAN R","City of Roseville","SACRAMENTO RIVER","1"
"ANM","SANTA ANA R NR MENTONE","1950","34.108","-117.1","SAN BERNARDINO","4","5701","999","999","58","47","0","SAN BERNARDINO","SANTA ANA R","US Geological Survey","SOUTH COAST","65,66"
"ANR","ANTELOPE RIDGE","5650","40.155","-120.542","SUSANVILLE","5","7301","999","999","2","10","0","PLUMAS","FEATHER R","CA Dept of Water Resources/Beckwourth","SACRAMENTO RIVER","3,18,82"
"ANT","ANTELOPE LAKE","4960","40.18","-120.607","SUSANVILLE","5","7301","999","999","709","10","0","PLUMAS","FEATHER R","CA Dept of Water Resources/O&M Oroville Field Division","SACRAMENTO RIVER","2,4,6,14,15,22,30,31,32,45,65"
"ANU","ARGONAUT DAM CA ARB RAWS","1513","38.3536","-120.7902","JACKSON","6","8301","999","999","716","17","2","AMADOR","MOKELUMNE R","CA Air Resources Board","SAN JOAQUIN RIVER","2,4,9,10,12,14,17,26,45,77,78"
"ANZ","ANZA","3920","33.5558","-116.6744","PALM SPRINGS","4","5601","999","999","3","55","0","RIVERSIDE","SAN JACINTO R","CA Dept of Forestry and Fire Protection","SOUTH COAST","2,4,9,10,11,12,13,14,30,31,32"
"AOM","ALAMO MOUNTAIN","6700","34.670277","-118.98","LAKE OF THE WOODS","4","4601","999","999","156","45","13","VENTURA","SANTA CLARA R","Ventura County","SOUTH COAST","2,4,12"
"APH","ALPHA","7600","38.8041381835938","-120.215644836426","TWIN BRIDGES","5","7701","999","999","1","999","0","EL DORADO","AMERICAN R","CA Dept of Water Resources","SACRAMENTO RIVER","3,18,82"
"API","ALPINE","2041","32.834","-116.739","EL CAJON","4","6101","999","999","44","60","0","SAN DIEGO","SAN DIEGO R","US Forest Service","SOUTH COAST","2,4,9,10,11,12,13,14,26,30,31,32,45,77,78"
"APN","ALPINE LAKE","654","37.94","-122.637","STINSON BEACH","2","1701","999","999","89","22","0","MARIN","COAST-MARIN","Marin Municipal Water District","SAN FRANCISCO BAY","15"
"APP","ANTIOCH PUMP PLANT","60","37.984","-121.728","ANTIOCH","6","8101","999","999","97","23","0","CONTRA COSTA","DELTA","Contra Costa Water District","SAN JOAQUIN RIVER","2"
"APS","AMERICAN RIVER PUMP STATION","480","38.9","-121.1","AUBURN","5","7701","999","999","87","16","0","SACRAMENTO","AMERICAN R","Placer County Water Agency","SACRAMENTO RIVER","66,110"
"APT","APTOS CREEK AT RIDER ROAD","1123","37.0361","-121.8528","SANTA CRUZ","3","2901","999","999","144","23","0","SANTA CRUZ","SAN LORENZO R","Santa Cruz County","CENTRAL COAST","16"
"APU","ANGWIN PACIFIC UNION COL","1815","38.5731","-122.4406","ST HELENA","2","1901","999","999","40","16","0","NAPA","NAPA R","National Weather Service","SAN FRANCISCO BAY","2"
"AQD","L A AQUEDUCT INTAKE","3841","99.999","-999.999",,"9","11001","999","999","999","999","0","INYO","OWENS R",".None Specified","SOUTH LAHONTAN","2"
"ARC","MAD RIVER NEAR ARCATA","33","40.9098510742188","-124.060615539551","ARCATA","1","1101","700","999","5","6","0","HUMBOLDT","MAD R","USGS/DWR","NORTH COAST","1,4,14,20,30,31,32,169"
"ARD","ARCADE CREEK AT SUNRISE BLVD","22","38.684","-121.271","SACRAMENTO","5","7701","999","999","500","17","0","SACRAMENTO","AMERICAN R","Sacramento Dept of Public Works","SACRAMENTO RIVER","1,16"
"ARG","ARROYO GRANDE","600","35.117","-120.417","ARROYO GRANDE","3","3850","999","999","3","37","0","SAN LUIS OBISPO","ARROYO GRANDE CREEK","CA Dept of Forestry and Fire Protection","CENTRAL COAST","2,4,9,10,11,12,13,14,26,30,31,32,77,78"
"ARR","LAKE ARROWHEAD","5205","34.25","-117.183","SAN BERNARDINO","9","11501","999","999","40","47","0","SAN BERNARDINO","MOJAVE DESERT","National Weather Service","SOUTH LAHONTAN","2"
"ARS","ARROWHEAD SPRINGS HOTEL","2000","34.184","-117.264","SAN BERNARDINO","4","5201","999","136","136","47","0","SAN BERNARDINO","LYTLE CR","San Bernardino County","SOUTH COAST","2,16,45"
"ARW","ARDEN WAY","35","38.596","-121.413","SACRAMENTO","5","7701","999","999","134","17","13","SACRAMENTO","AMERICAN R","Sacramento County","SACRAMENTO RIVER","1,2,16,45"
"ARY","ARROYO SECO","980","36.23","-121.488","GREENFIELD","3","3301","999","999","44","29","0","MONTEREY","SALINAS R","US Forest Service","CENTRAL COAST","2,4,9,10,11,12,13,14,26,30,31,32,45,77,78"
"ASA","AL SMITH CANAL","3507","40.483924","-121.855337","SHINGLETOWN","5","6951","999","999","60","0","20","SHASTA","BATTLE CREEK","Pacific Gas & Electric","SACRAMENTO RIVER","1,110"
"ASC","ASH CREEK (USFS)","3200","41.276943","-121.979446","WEED","5","6601","999","999","44","4","0","SISKIYOU","MC CLOUD R","US Forest Service","SACRAMENTO RIVER","2,4,9,10,11,12,13,14,30,31,32,77,78"
"ASH","ASH CREEK","5000","41.4","-122.05","MACDOEL","5","6601","999","999","32","3","0","SISKIYOU","MC CLOUD R","McCloud Ranger District","SACRAMENTO RIVER","3,18,82"
"ASM","ASH MOUNTAIN","1708","36.483","-118.833","THREE RIVERS","7","9501","999","999","53","32","0","TULARE","KAWEAH R","Sequoia and Kings Canyon National Parks","TULARE LAKE","2,45,203"
"ASP","ARROYO SECO (PASADENA)","1398","34.222","-118.177","PASADENA","4","4801","999","999","58","46","0","LOS ANGELES","LOS ANGELES R","US Geological Survey","SOUTH COAST","65,66"
"ASS","ARROYO SECO NR SOLEDAD","399","36.2805213928223","-121.322708129883","SOLEDAD","3","3301","999","999","58","29","0","MONTEREY","SALINAS R","US Geological Survey","CENTRAL COAST","1,14,20,65,66"
"AST","AUSTRIAN","1125","37.132","-121.93","SAN JOSE","2","2301","999","999","213","23","0","SANTA CLARA","LOS GATOS CR (NEAR SAN JOSE)","San Jose Water Company","SAN FRANCISCO BAY","15"
"ASV","AMERICAN-SF SILVER CREEK","5290","38.819","-120.364","KYBURZ","5","7701","999","999","85","18","0","EL DORADO","AMERICAN R","Sacramento Municipal Utility District","SACRAMENTO RIVER","65,66"
"ATL","ATLAS PEAK","1660","38.42833333","-122.24833333","NAPA","2","1901","702","702","702","15","2","NAPA","NAPA R","CA Dept of Water Resources/DFM-Hydro-SMN","SAN FRANCISCO BAY","2,4,9,10,12,14,16,45"
"ATN","LAKE SAN ANTONIO","779","35.798","-120.883","BRADLEY","3","3301","999","999","127","37","0","MONTEREY","SALINAS R","Monterey County","CENTRAL COAST","15"
"ATP","ANTHONY PEAK","6200","39.842","-122.95",,"5","7251","999","999","21","12","0","TEHAMA","STONY CR","Covelo Ranger District","SACRAMENTO RIVER","3,18,82"
"ATR","ANTELOPE R TAILRACE ","4912","40.1797","-120.6085","TAYLORSVILLE","5","7301","999","999","703","9","2","PLUMAS","FEATHER R","CA Dept of Water Resources/Operations and Maintenance","SACRAMENTO RIVER","1,14"
"ATS","ANTELOPE SPRINGS","4350","38.503","-120.467",,"6","8301","999","999","12","18","0","AMADOR","MOKELUMNE R","Amador Ranger District","SAN JOAQUIN RIVER","3,18,82"
"ATW","ATWELL CAMP","6400","36.464","-118.631","SILVER CITY","7","9501","999","999","56","32","0","TULARE","KAWEAH R","US Army Corps of Engineers","TULARE LAKE","2,45"
"AUB","AUBURN","1292","38.917","-121.083","AUBURN","5","7701","999","999","40","17","0","PLACER","AMERICAN R","National Weather Service","SACRAMENTO RIVER","2"
"AVL","ARROYO VALLE NR LIVERMORE","510","37.6232643127441","-121.758842468262","LIVERMORE","2","2001","999","999","58","23","0","ALAMEDA","EAST BAY","US Geological Survey","SAN FRANCISCO BAY","1,14,20,66"
"AVY","NORTH FORK STANISLAUS NEAR AVERY","3388","38.243889","-120.290001","AVERY","6","8501","999","999","615","17","37","CALAVERAS","STANISLAUS R","Northern California Power Agency","SAN JOAQUIN RIVER","20"
"AWB","AMERICAN RIVER BELOW WATT AVE BRIDGE","50","38.567","-121.387","SACRAMENTO","5","7701","999","999","58","17","0","SACRAMENTO","AMERICAN R","US Geological Survey","SACRAMENTO RIVER","14,25"
"AWP","AMERICAN RIVER AT WILLIAM B POND PARK","45","38.591","-121.332","SACRAMENTO","5","7701","999","999","58","17","0","SACRAMENTO","AMERICAN R","US Geological Survey","SACRAMENTO RIVER","14,25"
"B01","19N2E07K04M HARRIS RD NR RICHVALE","93","39.511768","-121.787979","RICHVALE","5","7201","999","999","104","12","2","BUTTE","BUTTE CR","Butte County","SACRAMENTO RIVER","14,25,170"
"B02","19N2E07K03M HARRIS RD NR RICHVALE","93","39.511768","-121.787979","RICHVALE","5","7201","999","999","104","12","2","BUTTE","BUTTE CR","Butte County","SACRAMENTO RIVER","25,170"
"B03","19N2E07K02M HARRIS RD NR RICHVALE","93","39.511768","-121.787979","RICHVALE","5","7201","999","999","104","12","2","BUTTE","BUTTE CR","Butte County","SACRAMENTO RIVER","25,170"
"B04","20N2E24C01M NELSON RD NR ADOBE RD","150","39.581272","-121.70258","OROVILLE","5","7201","999","999","104","12","2","BUTTE","BUTTE CR","Butte County","SACRAMENTO RIVER","14,25,170"
"B05","20N2E24C02M NELSON RD NR ADOBE RD","150","39.581272","-121.70258","OROVILLE","5","7201","999","999","104","12","2","BUTTE","BUTTE CR","Butte County","SACRAMENTO RIVER","25,170"
"B06","20N2E24C03M NELSON RD NR ADOBE RD","150","39.581272","-121.70258","OROVILLE","5","7201","999","999","104","12","2","BUTTE","BUTTE CR","Butte County","SACRAMENTO RIVER","25,170"
"B07","21N1E13L04M CHICO UNIV FARM","151","39.673446","-121.814422","CHICO","5","7201","999","999","104","12","2","BUTTE","BUTTE CR","Butte County","SACRAMENTO RIVER","14,25,170"
"B08","21N1E13L03M CHICO UNIV FARM","151","39.673446","-121.814422","CHICO","5","7201","999","999","104","12","2","BUTTE","BUTTE CR","Butte County","SACRAMENTO RIVER","25,170"
"B09","21N1E13L02M CHICO UNIV FARM","151","39.673446","-121.814422","CHICO","5","7201","999","999","104","12","2","BUTTE","BUTTE CR","Butte County","SACRAMENTO RIVER","25,170"
"B14","BUTTE CREEK CANAL NEAR INTAKE","2860","39.981","-121.58811","STIRLING CITY","5","7201","999","999","60","0","20","BUTTE","BUTTE CR","Pacific Gas & Electric","SACRAMENTO RIVER","1,110"
"B24","MIOCENE CANAL NEAR HEAD","1528","39.81043","-121.57077","MAGALIA","5","7301","999","999","60","0","20","BUTTE","FEATHER R","Pacific Gas & Electric","SACRAMENTO RIVER","1,110"
"BAC","BACON ISLAND AT OLD RIVER","0","37.9693450927734","-121.572174072266","BRENTWOOD","5","8101","999","999","703","999","0","SAN JOAQUIN","DELTA","CA Dept of Water Resources/Operations and Maintenance","SACRAMENTO RIVER","1,5,14,25,100,141"
"BAH","BADGER HILL PUMPING PLANT","352","35.83468","-119.942658","KETTLEMAN CITY","7","9401","703","703","703","0","99","KINGS","KINGS R","CA Dept of Water Resources/Operations and Maintenance","TULARE LAKE","20"
"BAK","BATES CREEK RANCH","440","37.0208","-121.93","SANTA CRUZ","3","2901","999","999","144","23","0","SANTA CRUZ","SAN LORENZO R","Santa Cruz County","CENTRAL COAST","16"
"BAL","BALCH PH (PG&E)","1720","36.909","-119.089","PIEDRA","7","9401","999","999","60","31","0","FRESNO","KINGS R","Pacific Gas & Electric","TULARE LAKE","2,12,14,16,30,31,32,36,45,203"
"BAM","BALD MOUNTAIN (KERN CO)","8290","36.02","-118.279","KERNVILLE","7","9701","999","999","115","39","0","KERN","KERN R","Kern County","TULARE LAKE","14,16"
"BAN","BEAR CANYON CK AT ANDERSON SPRINGS RD","1330","38.77528","-122.68861","CASTLE ROCK SPRINGS","5","8001","999","999","58","15","2","LAKE","PUTAH CR","US Geological Survey","SACRAMENTO RIVER","1,14"
"BAP","BYRON AIRPORT","43","37.8306","-121.6225","BYRON","2","8101","999","999","107","23","0","CONTRA COSTA","DELTA","Contra Costa County","SAN FRANCISCO BAY","2,45"
"BAR","BEAR","319","37.367","-120.217","PLANADA","6","8701","999","999","56","24","11","MARIPOSA","MERCED R","US Army Corps of Engineers","SAN JOAQUIN RIVER","2,6,15,22,23,45,76,91"
"BAS","SOUTH FORK BATTLE CREEK NEAR MANTON","997","40.4058036804199","-121.980674743652","MANTON","5","6501","999","999","707","9","0","TEHAMA","SACRAMENTO R","CA Dept of Water Resources/North Region Office","SACRAMENTO RIVER","1,14,20,25"
"BAT","BATTLE CREEK","200","40.3982086181641","-122.146385192871","RED BLUFF","5","6501","700","999","5","8","0","TEHAMA","SACRAMENTO R","USGS/DWR","SACRAMENTO RIVER","1,14,20,41"
